"Показник","Територіальний розріз","Кількість працівників","Вид економічної діяльності","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Конфіденційність","Примітки часового ряду","Примітки спостереження","2018","2019","2020","2021","2022","2023","2024","2025"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","37.7","37.6","","38.8","","","44.1","44.7"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Переробна промисловість","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","43.7","43.2","","44.1","","","46.7","48.2"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виробництво комп'ютерів, електронної та оптичної продукції","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","70.3","67.9","","68.6","","","71.0","64.3"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","55.0","55.7","","54.3","","","57.4","60.1"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Видавнича діяльність, радіомовлення, телебачення","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","58.8","58.3","","60.1","","","60.3","63.9"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Діяльність у сферах права та бухгалтерського обліку, архітектури та інжинірингу, технічні випробування та дослідження","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","43.3","41.4","","41.1","","","45.4","44.6"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Діяльність туристичних агентств, туристичних операторів, надання інших послуг із бронювання та пов'язана з цим діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","66.5","66.3","","64.3","","","66.7","86.8"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","48.5","48.4","","50.3","","","50.5","51.5"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виготовлення виробів з деревини, паперу та  поліграфічна діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","37.9","36.6","","37.0","","","38.4","43.9"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Інформація та телекомунікації","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","57.4","57.1","","57.1","","","57.3","56.1"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виробництво харчових продуктів, напоїв і тютюнових виробів; текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів; виготовлення виробів з деревини, паперу та поліграфічна діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","34.2","34.0","","34.2","","","38.3","41.9"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Будівництво","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","25.1","24.0","","23.6","","","25.9","24.9"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виробництво електричного устатковання","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","62.0","61.6","","62.0","","","62.2","62.5"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Діяльність у сфері адміністративного та допоміжного обслуговування","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","23.6","22.9","","22.1","","","23.3","20.6"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","41.2","40.3","","41.9","","","47.1","48.1"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Постачання електроенергії, газу, пари та кондиційованого повітря; водопостачання; каналізація, поводження з відходами","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","30.3","31.9","","28.8","","","35.3","37.6"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виробництво харчових продуктів, напоїв і тютюнових виробів","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","35.4","35.4","","35.3","","","40.5","43.0"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Телекомунікації (електрозв'язок)","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","72.2","72.9","","72.9","","","73.6","75.2"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виробництво коксу та продуктів нафтоперероблення","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","40.7","39.5","","41.7","","","43.9","41.9"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Машинобудування; виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","52.9","52.2","","51.7","","","54.4","52.4"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Наукові дослідження та розробки","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","52.3","53.5","","53.8","","","54.0","59.2"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Ремонт комп'ютерів і обладнання зв'язку","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","58.8","59.7","","54.9","","","55.0","72.2"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Оренда, прокат і лізинг; діяльність із працевлаштування; діяльність охоронних служб та проведення розслідувань; обслуговування будинків і територій; адміністративна та допоміжна офісна діяльність, інші допоміжні комерційні послуги","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","21.4","20.6","","19.9","","","22.1","18.7"
